ref	value	Field1
C1	100n
C2	100n
C3	100n
C4	CP_US
D1	LED
D2	LED
P1	CONN_3X2
P2	CONN_3X2
P3	AC IN
P4	LOAD
P5	LOAD
P6	DC IN
R1	330
R2	330
R3	470
R4	470
R5	1K
R6	1K
U1	742G17
U2	74LS74
U3	74LS74
U4	MOC3023	MOC3012SM-ND
U5	MOC3023	MOC3012SM-ND
U6	TRIAC
U7	TRIAC
